date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
14-06 00:00,argentina primera b nacional,independiente rivadavia,san martin de san juan,33.0,34.0,33.0,none,2.31,2.9,3.1,0:0,0,0,0.7623,0.986,10.89
14-06 00:00,brazil brasileiro serie b,sc recife pe,gremio fb porto alegrense rs,19.0,49.0,33.0,X2,3.3,2.8,2.34,0:0,0,0,0.627,1.372,10.89
14-06 00:00,brazil brasileiro serie c,volta redonda fc rj,clube do remo pa,34.0,37.0,29.0,none,2.3,2.85,2.9,3:0,3,0,0.782,1.0545,8.41
14-06 00:00,international concacaf nations league,trinidad and tobago,saint vincent and the grenadines,83.0,14.0,4.0,1,1.12,6.4,14.0,4:1,4,1,0.9296,0.896,0.16
14-06 00:00,brazil brasileiro serie d,anapolis fc go,acao futebol mt,79.0,11.0,10.0,1,1.11,5.6,14.0,2:0,2,0,0.8769,0.616,1.0
14-06 01:00,international concacaf nations league,nicaragua,bahamas,90.0,8.0,2.0,1,1.05,7.6,27.0,4:0,4,0,0.945,0.608,0.04
14-06 01:00,international concacaf nations league,guatemala,dominican republic,41.0,15.0,11.0,none,1.45,3.95,5.6,2:0,2,0,0.5945,0.5925,1.21
14-06 08:00,ethiopia premier league,sidama bunna sc,arba minch kenema,34.0,39.0,27.0,none,2.37,2.65,3.25,1:2,1,2,0.8058,1.0335,7.29
14-06 10:55,international int. friendly games,japan,tunesia,52.0,23.0,24.0,1,1.49,3.95,6.4,0:3,0,3,0.7748,0.9085,5.76
14-06 11:00,ethiopia premier league,saint george sc,bahir dar kenema fc,61.0,23.0,16.0,1,1.43,3.45,6.2,2:2,2,2,0.8723,0.7935,2.56
14-06 12:00,international int. friendly games,south korea,egypt,52.0,26.0,22.0,1X,1.47,3.95,6.8,4:1,4,1,0.7644,1.027,4.84
14-06 12:30,"international afc asian cup, qualifiers",afghanistan,cambodia,45.0,14.0,41.0,12,1.34,4.4,7.8,2:2,2,2,0.603,0.616,16.81
14-06 13:00,"argentina liga profesional, reserves",arsenal fc,san lorenzo de almagro,30.0,33.0,37.0,none,2.6,3.1,2.5,0:1,0,1,0.78,1.023,13.69
14-06 14:00,ethiopia premier league,wolkite city fc,defence force fc,40.0,32.0,28.0,1X,2.8,2.7,2.55,0:0,0,0,1.12,0.864,7.84
14-06 14:00,"international afc asian cup, qualifiers",malaysia,bangladesh,63.0,9.0,28.0,1,1.1,6.6,23.0,4:1,4,1,0.693,0.594,7.84
14-06 16:00,"international afc asian cup, qualifiers",kyrgyzstan,tajikistan,27.0,56.0,17.0,X,2.27,2.65,3.55,0:0,0,0,0.6129,1.484,2.89
14-06 16:00,"international afc asian cup, qualifiers",india,"hong kong, china",42.0,39.0,18.0,1X,2.37,2.65,3.35,4:0,4,0,0.9954,1.0335,3.24
14-06 16:00,finland suomen cup,hjs akatemia,fc haka valkeakoski,37.0,9.0,55.0,2,16.0,7.0,1.1,0:1,0,1,5.92,0.63,30.25
14-06 16:30,"european championship u21 ec, qualification",italy,ireland,51.0,18.0,31.0,12,1.43,4.4,6.0,4:1,4,1,0.7293,0.792,9.61
14-06 16:30,"international afc asian cup, qualifiers",uzbekistan,thailand,50.0,29.0,21.0,1X,1.39,4.0,7.6,2:0,2,0,0.695,1.16,4.41
14-06 16:30,finland suomen cup,fc lahti,atlantis fc,66.0,30.0,3.0,1,1.09,7.6,17.0,4:2,4,2,0.7194,2.28,0.09
14-06 17:00,"european championship u21 ec, qualification",norway,azerbaijan,75.0,18.0,7.0,1,1.09,8.0,21.0,2:1,2,1,0.8175,1.44,0.49
14-06 17:00,"european championship u21 ec, qualification",denmark,turkey,54.0,19.0,27.0,12,1.54,4.3,4.7,3:2,3,2,0.8316,0.817,7.29
14-06 17:00,uefa nations league,moldova,andorra,47.0,33.0,20.0,1X,1.58,3.8,6.4,2:1,2,1,0.7426,1.254,4.0
14-06 17:00,uefa nations league,armenia,scotland,18.0,33.0,48.0,X2,6.2,3.95,1.58,1:4,1,4,1.116,1.3035,23.04
14-06 17:00,tunisia cup,ca bizertin,us ben guerdane,16.0,35.0,49.0,X2,3.8,3.35,1.83,1:1,1,1,0.608,1.1725,24.01
14-06 17:15,"international afc asian cup, qualifiers",jordan,kuwait,43.0,37.0,20.0,1X,2.35,2.9,3.05,3:0,3,0,1.0105,1.073,4.0
14-06 19:00,"world cup qualification, playoffs",costa rica,new zealand,37.0,31.0,33.0,none,1.93,2.9,4.4,1:0,1,0,0.7141,0.899,10.89
14-06 19:00,"uruguay primera division, intermedio",plaza colonia,ca boston river,28.0,23.0,48.0,12,2.7,2.95,2.47,0:0,0,0,0.756,0.6785,23.04
14-06 19:00,brazil u20 paulista 1st division,oeste fc sp,fc ska brasil sp,19.0,19.0,61.0,2,3.05,3.0,2.13,1:0,1,0,0.5795,0.57,37.21
14-06 19:00,"iceland urvalsdeild, women",afturelding mosfellsbaer,ibv vestmannaeyjar,31.0,18.0,51.0,12,9.6,6.6,1.16,0:1,0,1,2.976,1.188,26.01
14-06 19:00,austria amateur 1. nön - landesliga,kremser sc,langenrohr,37.0,16.0,47.0,12,1.6,4.4,3.6,2:4,2,4,0.592,0.704,22.09
14-06 19:45,uefa nations league,netherlands,wales,60.0,21.0,20.0,1,1.41,4.8,7.6,3:2,3,2,0.846,1.008,4.0
14-06 19:45,uefa nations league,england,hungary,57.0,24.0,19.0,1,1.26,5.8,12.0,0:4,0,4,0.7182,1.392,3.61
14-06 19:45,uefa nations league,germany,italy,44.0,34.0,21.0,1X,1.75,3.65,4.9,5:2,5,2,0.77,1.241,4.41
