date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
10-06 23:00,"argentina primera division, torneo inicial",atletico lanus,defensa y justicia,30.0,27.0,43.0,12,2.6,3.0,2.6,1:1,1,1,0.78,0.81,18.49
10-06 23:00,"argentina primera division, torneo inicial",ca aldosivi,estudiantes de la plata,17.0,27.0,56.0,2,3.55,3.2,1.97,0:1,0,1,0.6035,0.864,31.36
10-06 23:10,argentina primera b nacional,nueva chicago,gimnasia y esgrima mendoza,28.0,44.0,29.0,X2,2.8,2.85,2.6,1:1,1,1,0.784,1.254,8.41
11-06 00:00,"usa usl, league two",dayton dutch lions,kings hammer,35.0,11.0,53.0,12,6.8,5.2,1.24,0:5,0,5,2.38,0.572,28.09
11-06 00:00,"usa usl, league two",flint city bucks,oakland county fc,53.0,9.0,39.0,12,1.1,6.4,11.0,3:2,3,2,0.583,0.576,15.21
11-06 00:00,"usa usl, league two",seacoast united phantoms,blackwatch rush,60.0,12.0,28.0,1,1.18,4.9,10.0,3:0,3,0,0.708,0.588,7.84
11-06 00:30,international u20 friendly games,brazil,ecuador,77.0,13.0,9.0,1,1.33,4.4,6.6,4:1,4,1,1.0241,0.572,0.81
11-06 01:00,ecuador copa ecuador,cd penarol pallatanga,orense sc,15.0,17.0,69.0,2,4.1,3.5,1.67,2:4,2,4,0.615,0.595,47.61
11-06 01:30,"argentina primera division, torneo inicial",ca huracan,club atletico rosario central,48.0,35.0,17.0,1X,1.94,3.2,3.65,2:0,2,0,0.9312,1.12,2.89
11-06 01:30,brazil brasileiro serie b,chapecoense sc,criciuma ec sc,32.0,44.0,25.0,1X,2.34,2.85,3.2,2:3,2,3,0.7488,1.254,6.25
11-06 02:00,usa national independent soccer association,asc san diego,california united strikers fc,43.0,17.0,41.0,12,6.4,3.6,1.43,0:3,0,3,2.752,0.612,16.81
11-06 05:00,"australia ffa cup, qualification",hamilton olympic,lake macquarie,49.0,11.0,40.0,12,1.2,5.6,8.75,2:0,2,0,0.588,0.616,16.0
11-06 05:00,"australia ffa cup, qualification",cooks hill united,coffs coast tigers,45.0,12.0,43.0,12,1.3,5.0,6.0,4:0,4,0,0.585,0.6,18.49
11-06 06:00,australia victoria premier league,fc avondale,hume city,40.0,18.0,42.0,12,1.5,4.1,5.0,4:3,4,3,0.6,0.738,17.64
11-06 06:00,australia act premier league,canberra olympic,o connor knights fc,35.0,15.0,51.0,12,1.7,4.0,3.4,1:1,1,1,0.595,0.6,26.01
11-06 06:00,australia act premier league,cooma tigers,canberra croatia fc,47.0,14.0,39.0,12,4.4,4.2,1.5,1:1,1,1,2.068,0.588,15.21
11-06 06:30,"australia npl, new south wales",sutherland sharks,mt druitt town rangers fc,32.0,15.0,53.0,12,1.84,3.8,3.1,0:2,0,2,0.5888,0.57,28.09
11-06 06:30,"australia npl, south australia",cumberland united,adelaide city fc,33.0,12.0,55.0,2,6.4,4.8,1.31,1:3,1,3,2.112,0.576,30.25
11-06 06:30,"australia npl, south australia",south adelaide fc,west torrens birkalla,36.0,24.0,40.0,12,1.64,3.85,3.8,2:5,2,5,0.5904,0.924,16.0
11-06 07:30,"australia npl, queensland",gold coast knights sc,capalaba bulldogs,58.0,13.0,29.0,1,1.09,8.6,14.0,4:1,4,1,0.6322,1.118,8.41
11-06 07:45,australia victoria premier league,dandenong city,green gully cavaliers,43.0,13.0,43.0,12,6.0,4.4,1.39,1:4,1,4,2.58,0.572,18.49
11-06 08:00,"australia npl, western australia",stirling macedonia fc,armadale sc,38.0,15.0,47.0,12,1.55,4.0,4.2,0:0,0,0,0.589,0.6,22.09
11-06 08:30,australia victoria premier league,port melbourne sharks,esl,49.0,15.0,35.0,12,1.21,5.4,9.0,3:1,3,1,0.5929,0.81,12.25
11-06 09:00,"australia npl, queensland",olympic fc brisbane,brisbane roar,51.0,14.0,35.0,12,1.17,6.6,9.6,4:2,4,2,0.5967,0.924,12.25
11-06 09:15,australia queensland premier league,mitchelton fc,redlands united,45.0,11.0,44.0,12,5.2,5.4,1.35,0:2,0,2,2.34,0.594,19.36
11-06 09:45,australia victoria premier league,south melbourne fc,st albans saints,50.0,22.0,28.0,12,1.21,5.6,10.0,4:0,4,0,0.605,1.232,7.84
11-06 11:00,poland 3rd liga,pogon szczecin ii,baltyk koszalin,48.0,18.0,34.0,12,2.36,3.3,2.65,3:1,3,1,1.1328,0.594,11.56
11-06 12:00,norway 3 divisjon,kongsvinger il fotball 2,hodd 2,57.0,27.0,16.0,1,1.57,4.5,3.65,1:1,1,1,0.8949,1.215,2.56
11-06 12:30,china chinese super league,hebei fc,shanghai port fc,34.0,22.0,44.0,12,8.0,4.2,1.39,0:2,0,2,2.72,0.924,19.36
11-06 13:00,finland kakkonen,jippo,lahden reipas,62.0,17.0,20.0,1,2.05,3.35,2.9,2:1,2,1,1.271,0.5695,4.0
11-06 13:00,denmark danmarksserien,karlslunde if,young boys fd,54.0,19.0,28.0,12,1.72,4.3,3.4,1:2,1,2,0.9288,0.817,7.84
11-06 13:00,"sweden division 2, sodra svealand",huddinge if,united ik nordic,56.0,16.0,28.0,1,2.6,3.75,2.1,0:1,0,1,1.456,0.6,7.84
11-06 13:00,czech republic cfl,tj slovan velvary,tj jiskra usti nad orlici,52.0,17.0,31.0,12,1.16,6.0,12.0,1:1,1,1,0.6032,1.02,9.61
11-06 14:00,uefa nations league,ukraine,armenia,64.0,15.0,21.0,1,1.21,6.6,14.0,3:0,3,0,0.7744,0.99,4.41
11-06 14:00,norway 3 divisjon,halsen if,randesund il,47.0,19.0,34.0,12,1.27,5.6,6.2,2:2,2,2,0.5969,1.064,11.56
11-06 14:00,norway 3 divisjon,fredrikstad fk 2,start 2,24.0,26.0,50.0,X2,2.48,3.85,2.13,1:0,1,0,0.5952,1.001,25.0
11-06 14:00,norway 3 divisjon,bjarg,sandnes ulf 2,66.0,17.0,17.0,1,1.81,3.6,3.35,2:1,2,1,1.1946,0.612,2.89
11-06 14:00,norway 3 divisjon,rosenborg bk 2,strindheim tf,42.0,15.0,44.0,12,3.0,4.1,1.81,0:4,0,4,1.26,0.615,19.36
11-06 14:00,"sweden division 2, norrland",friska viljor fc,bergnasets aik,57.0,7.0,36.0,1,1.04,8.0,22.0,3:2,3,2,0.5928,0.56,12.96
11-06 14:00,"sweden division 2, norrland",ytterhogdals ik,sandviks ik,27.0,23.0,50.0,12,2.15,4.0,2.41,6:0,6,0,0.5805,0.92,25.0
11-06 15:00,iceland 1 deild,if vestri,kordrengir,22.0,51.0,27.0,X2,2.7,3.35,2.22,2:2,2,2,0.594,1.7085,7.29
11-06 15:00,brazil brasileiro serie c,gremio esportivo brasil,ypiranga fc rs,55.0,21.0,23.0,1,2.7,2.8,2.55,0:2,0,2,1.485,0.588,5.29
11-06 15:00,norway 2. divisjon,fk örn horten,odds bk 2,67.0,17.0,17.0,1,1.77,3.6,3.6,2:1,2,1,1.1859,0.612,2.89
