date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
31-01 23:00,"brazil paulista, serie a1",red bull bragantino sp,guarani fc sp,58.0,23.0,19.0,1,1.72,3.25,4.1,1:0,1,0,0.9976,0.7475,3.61
31-01 23:00,"colombia primera a, apertura",ad pasto,jaguares de cordoba,43.0,44.0,13.0,1X,1.74,3.15,4.6,1:1,1,1,0.7482,1.386,1.69
01-02 00:00,"mexico liga mx, women",fc juarez,cf monterrey,22.0,16.0,62.0,2,11.0,5.6,1.14,1:3,1,3,2.42,0.896,38.44
01-02 01:00,"mexico liga mx, women",cd guadalajara,cruz azul,57.0,22.0,22.0,1,1.14,5.6,11.0,1:0,1,0,0.6498,1.232,4.84
01-02 01:00,"mexico liga mx, women",club leon,queretaro fc,31.0,38.0,31.0,none,2.19,3.1,2.7,4:2,4,2,0.6789,1.178,9.61
01-02 01:05,"colombia primera a, apertura",cd tolima,union magdalena,47.0,30.0,22.0,1X,1.4,3.8,7.4,2:1,2,1,0.658,1.14,4.84
01-02 02:00,"mexico liga mx, women",pumas unam,club santos laguna,43.0,35.0,21.0,1X,2.16,3.1,2.75,4:0,4,0,0.9288,1.085,4.41
01-02 03:00,"mexico liga mx, women",club tijuana de caliente,cf tigres uanl,24.0,19.0,57.0,2,6.0,4.1,1.35,1:1,1,1,1.44,0.779,32.49
01-02 08:45,australia a-league,macarthur fc,fc western united,54.0,19.0,27.0,12,2.43,3.2,2.8,2:2,2,2,1.3122,0.608,7.29
01-02 10:00,italy campionato primavera 1,pescara calcio,cagliari,38.0,25.0,37.0,12,4.2,3.85,1.63,1:2,1,2,1.596,0.9625,13.69
01-02 10:00,italy campionato primavera 1,as roma,us lecce,46.0,23.0,31.0,12,1.3,5.0,7.0,2:2,2,2,0.598,1.15,9.61
01-02 10:10,world cup qualification afc,japan,saudi arabia,58.0,24.0,18.0,1,1.53,3.45,7.4,2:0,2,0,0.8874,0.828,3.24
01-02 11:00,portugal u23 championship,sc farense u23,vitoria guimaraes,23.0,35.0,42.0,X2,2.55,3.2,2.33,2:0,2,0,0.5865,1.12,17.64
01-02 11:00,portugal u23 championship,cs maritimo,fc vizela u23,27.0,25.0,47.0,12,2.15,3.15,2.85,0:3,0,3,0.5805,0.7875,22.09
01-02 11:00,portugal u23 championship,fc famalicao,sporting cp,32.0,35.0,32.0,none,2.2,3.15,2.8,2:0,2,0,0.704,1.1025,10.24
01-02 11:15,indonesia liga 1,bhayangkara fc,barito putera,47.0,15.0,38.0,12,1.5,3.85,5.4,2:1,2,1,0.705,0.5775,14.44
01-02 12:00,world cup qualification afc,lebanon,iraq,29.0,43.0,28.0,1X,2.75,2.7,2.85,1:1,1,1,0.7975,1.161,7.84
01-02 12:00,world cup qualification afc,vietnam,china,19.0,22.0,59.0,2,4.1,3.55,1.8,3:1,3,1,0.779,0.781,34.81
01-02 12:00,israel liga alef north,hapoel kfar kana,hapoel migdal haemeq,32.0,28.0,40.0,12,1.85,3.35,3.4,2:2,2,2,0.592,0.938,16.0
01-02 12:00,italy campionato primavera 1,empoli,genoa cfc,44.0,27.0,29.0,12,2.17,3.25,2.9,0:1,0,1,0.9548,0.8775,8.41
01-02 12:00,italy campionato primavera 1,sampdoria genoa,acf fiorentina,29.0,28.0,42.0,12,2.04,3.5,3.0,4:1,4,1,0.5916,0.98,17.64
01-02 12:00,uganda premier league,bright stars fc,ura fc,16.0,40.0,44.0,X2,3.65,2.8,2.0,0:3,0,3,0.584,1.12,19.36
01-02 12:00,international clubs club friendlies,kongsvinger il fotball,moss fk,56.0,24.0,20.0,1,1.15,6.2,10.0,0:3,0,3,0.644,1.488,4.0
01-02 12:30,israel liga bet south,beitar ramat gan,tzeirey tira,25.0,51.0,24.0,1X,2.4,3.25,2.45,1:2,1,2,0.6,1.6575,5.76
01-02 12:30,international clubs club friendlies,slutsksakhar slutsk,neman grodno,32.0,27.0,42.0,12,2.65,3.45,2.15,1:2,1,2,0.848,0.9315,17.64
01-02 12:55,saudi arabia arabia division 1,al khlood,al shoulla fc,37.0,31.0,31.0,none,2.85,2.75,2.4,1:1,1,1,1.0545,0.8525,9.61
01-02 13:00,england u23 league,swansea city,millwall,36.0,17.0,47.0,12,2.23,3.45,2.55,1:2,1,2,0.8028,0.5865,22.09
01-02 13:00,england u23 league,coventry city,hull city,42.0,20.0,38.0,12,1.62,4.1,3.7,6:1,6,1,0.6804,0.82,14.44
01-02 13:00,england u23 league,bristol city,cardiff city,58.0,19.0,24.0,1,1.62,4.1,3.75,3:3,3,3,0.9396,0.779,5.76
01-02 13:00,international clubs club friendlies,velez mostar,gosk gabela,43.0,18.0,38.0,12,1.35,4.4,6.1,3:0,3,0,0.5805,0.792,14.44
01-02 13:10,saudi arabia arabia division 1,ohud medina,bisha fc,35.0,35.0,31.0,1X,1.71,3.25,4.2,2:1,2,1,0.5985,1.1375,9.61
01-02 13:30,azerbaijan cup,qarabag fk,keshla fk,47.0,17.0,37.0,12,1.25,4.5,9.2,1:0,1,0,0.5875,0.765,13.69
01-02 13:30,italy serie c,us triestina,juventus fc,25.0,46.0,30.0,X2,2.44,2.55,3.15,0:0,0,0,0.61,1.173,9.0
01-02 13:30,italy serie c,us pergolettese 1932,calcio padova,36.0,28.0,36.0,12,5.2,3.1,1.65,0:1,0,1,1.872,0.868,12.96
01-02 13:30,italy serie c,fc pro vercelli 1892,pro sesto,55.0,30.0,15.0,1,1.98,2.75,4.0,0:0,0,0,1.089,0.825,2.25
01-02 13:45,indonesia liga 1,persela lamongan,arema fc,43.0,15.0,41.0,12,6.2,3.85,1.46,0:1,0,1,2.666,0.5775,16.81
01-02 14:00,world cup qualification afc,syria,south korea,23.0,22.0,55.0,2,7.8,3.8,1.45,0:2,0,2,1.794,0.836,30.25
01-02 14:00,indian super league,fc goa,odisha fc,53.0,24.0,23.0,1,1.91,3.7,3.4,1:1,1,1,1.0123,0.888,5.29
01-02 14:00,italy campionato primavera 1,ac milan,inter milan,23.0,52.0,26.0,X2,2.65,3.25,2.31,1:2,1,2,0.6095,1.69,6.76
01-02 14:30,world cup qualification afc,iran,united arab emirates,60.0,22.0,18.0,1,1.47,3.75,7.4,1:0,1,0,0.882,0.825,3.24
01-02 15:00,portugal u23 championship,belenenses sad,academica de coimbra,50.0,29.0,21.0,1X,2.1,3.3,2.85,5:2,5,2,1.05,0.957,4.41
01-02 15:00,cyprus cup,ac omonia nicosia,po xylotymbou 2006,55.0,15.0,29.0,1,1.09,7.8,17.0,2:1,2,1,0.5995,1.17,8.41
01-02 15:00,egypt cup,ghazl el mahallah,ceramica cleopatra,37.0,25.0,39.0,12,1.6,3.3,5.0,2:1,2,1,0.592,0.825,15.21
01-02 15:00,egypt cup,pharco fc,enppi,32.0,33.0,36.0,none,3.9,3.7,1.65,0:2,0,2,1.248,1.221,12.96
01-02 15:45,azerbaijan cup,fk neftchi baku,sabah fc masazir,65.0,18.0,18.0,1,1.92,3.35,3.35,1:1,1,1,1.248,0.603,3.24
01-02 16:00,world cup qualification afc,oman,australia,25.0,19.0,56.0,2,7.8,3.75,1.46,2:2,2,2,1.95,0.7125,31.36
01-02 17:00,italy serie c,ac renate,us fiorenzuola 1922,45.0,26.0,29.0,12,1.64,3.4,4.7,0:0,0,0,0.738,0.884,8.41
01-02 17:00,italy serie c,as giana erminio,mantova 1911,19.0,55.0,25.0,X,3.1,2.7,2.37,0:2,0,2,0.589,1.485,6.25
01-02 17:00,italy serie c,piacenza calcio,virtus verona,38.0,41.0,21.0,1X,2.41,2.85,2.85,1:0,1,0,0.9158,1.1685,4.41
01-02 17:00,italy serie c,fc südtirol,us albinoleffe,37.0,30.0,33.0,none,1.6,3.1,5.6,1:0,1,0,0.592,0.93,10.89
01-02 17:00,italy serie c,feralpisalò,usd 1913 seregno calcio,50.0,28.0,22.0,1X,1.78,3.1,4.3,3:1,3,1,0.89,0.868,4.84
01-02 18:00,france ligue 2,chamois niort fc,usl dunkerque,45.0,29.0,26.0,1X,1.86,3.3,4.0,2:0,2,0,0.837,0.957,6.76
01-02 18:00,france ligue 2,aj auxerre,paris fc,43.0,33.0,25.0,1X,2.05,3.1,3.6,1:2,1,2,0.8815,1.023,6.25
01-02 18:00,france ligue 2,pau fc,nimes olympique,32.0,27.0,40.0,12,2.14,3.1,3.35,0:3,0,3,0.6848,0.837,16.0
01-02 18:00,france ligue 2,valenciennes fc,as nancy-lorraine,48.0,32.0,20.0,1X,2.32,3.05,3.05,6:1,6,1,1.1136,0.976,4.0
01-02 18:00,jamaica premier league,vere united fc,mount pleasant fc,21.0,22.0,58.0,2,4.6,3.25,1.61,0:1,0,1,0.966,0.715,33.64
01-02 18:30,israel state cup,maccabi petah tikva fc,hapoel be`er sheva fc,29.0,25.0,46.0,12,3.8,3.35,1.83,1:0,1,0,1.102,0.8375,21.16
01-02 18:30,international clubs club friendlies,sg vfr dersim russelsheim,rot-weiss walldorf,33.0,7.0,60.0,2,9.5,8.0,1.11,1:4,1,4,3.135,0.56,36.0
01-02 18:30,international clubs club friendlies,ssvg velbert,fc wulfrath,74.0,9.0,17.0,1,1.01,12.0,18.0,11:1,11,1,0.7474,1.08,2.89
01-02 19:30,"malta liga, women",kirkop utd,swieqi utd,22.0,6.0,73.0,2,16.0,10.0,1.03,0:6,0,6,3.52,0.6,53.29
01-02 19:45,england championship,swansea city,luton town,51.0,25.0,23.0,1X,2.28,3.0,3.3,0:1,0,1,1.1628,0.75,5.29
01-02 19:45,england championship,millwall fc,preston north end,43.0,32.0,26.0,1X,2.4,3.0,3.15,0:0,0,0,1.032,0.96,6.76
01-02 19:45,england league one,doncaster rovers,rotherham united,30.0,12.0,58.0,2,10.0,5.0,1.28,0:5,0,5,3.0,0.6,33.64
01-02 19:45,england league one,wigan athletic,oxford united,55.0,20.0,25.0,1,2.1,3.4,3.25,1:1,1,1,1.155,0.68,6.25
01-02 19:45,england league one,sheffield wednesday,morecambe fc,62.0,20.0,18.0,1,1.5,4.1,6.0,2:0,2,0,0.93,0.82,3.24
01-02 19:45,england league one,afc wimbledon,cheltenham town,25.0,47.0,28.0,X2,2.45,3.1,2.9,2:2,2,2,0.6125,1.457,7.84
01-02 19:45,england league two,bradford city,leyton orient,33.0,37.0,30.0,none,2.27,3.1,3.15,1:1,1,1,0.7491,1.147,9.0
01-02 19:45,england league two,colchester united,fc rochdale,35.0,34.0,32.0,none,2.95,3.1,2.4,1:1,1,1,1.0325,1.054,10.24
01-02 19:45,england league two,northampton town,barrow afc,67.0,19.0,14.0,1,1.87,3.15,4.4,0:1,0,1,1.2529,0.5985,1.96
01-02 19:45,england league two,port vale,forest green rovers,45.0,19.0,35.0,12,3.15,3.2,2.21,1:1,1,1,1.4175,0.608,12.25
01-02 19:45,england league two,swindon town,crawley town,55.0,23.0,21.0,1,1.82,3.6,3.95,1:1,1,1,1.001,0.828,4.41
01-02 19:45,england league two,tranmere rovers,stevenage fc,56.0,22.0,21.0,1,2.05,3.15,3.65,1:0,1,0,1.148,0.693,4.41
01-02 19:45,england national league,southend united,barnet fc,63.0,18.0,19.0,1,2.06,3.45,3.2,2:1,2,1,1.2978,0.621,3.61
01-02 19:45,england national league,yeovil town,weymouth fc,38.0,38.0,24.0,1X,1.6,3.9,4.8,1:1,1,1,0.608,1.482,5.76
01-02 19:45,england national league north,kidderminster harriers fc,leamington fc,57.0,15.0,27.0,1,1.49,4.0,5.6,3:0,3,0,0.8493,0.6,7.29
01-02 19:45,england national league north,kettering town,fc southport,58.0,18.0,24.0,1,2.1,3.4,3.05,2:1,2,1,1.218,0.612,5.76
01-02 19:45,england national league south,dorking wanderers,oxford city,55.0,26.0,19.0,1,1.59,3.9,4.6,1:0,1,0,0.8745,1.014,3.61
01-02 19:45,scotland premiership,hibernian fc,heart of midlothian fc,28.0,35.0,37.0,X2,2.7,3.0,2.6,0:0,0,0,0.756,1.05,13.69
01-02 19:45,scotland premiership,ross county fc,aberdeen fc,23.0,27.0,51.0,X2,3.15,3.1,2.26,1:1,1,1,0.7245,0.837,26.01
01-02 19:45,scotland premiership,livingston fc,st johnstone f.c.,49.0,30.0,21.0,1X,2.18,2.85,3.7,1:2,1,2,1.0682,0.855,4.41
01-02 19:45,scotland premiership,fc dundee,dundee united,25.0,48.0,27.0,X2,2.45,3.1,2.85,0:0,0,0,0.6125,1.488,7.29
01-02 19:45,scotland premiership,fc st. mirren,motherwell fc,31.0,49.0,21.0,1X,2.37,3.05,3.0,1:1,1,1,0.7347,1.4945,4.41
01-02 19:45,"england southern league, premier division central",needham market fc,leiston fc,59.0,16.0,25.0,1,2.33,3.7,2.38,3:0,3,0,1.3747,0.592,6.25
01-02 19:45,"england southern league, premier division south",taunton town,salisbury fc,60.0,21.0,20.0,1,1.59,3.95,4.2,3:1,3,1,0.954,0.8295,4.0
01-02 19:45,wales premier league,the new saints fc,cefn druids,81.0,5.0,15.0,1,1.02,13.0,35.0,5:1,5,1,0.8262,0.65,2.25
01-02 19:45,england amateur isthmian division one north,felixstowe & walton united fc,brentwood town,26.0,40.0,34.0,X2,2.25,3.8,2.35,1:0,1,0,0.585,1.52,11.56
01-02 20:00,"world cup qualification, conmebol",bolivia,chile,32.0,33.0,35.0,none,2.5,3.1,2.8,2:3,2,3,0.8,1.023,12.25
01-02 20:00,england league one,bolton wanderers,fc cambridge united,58.0,28.0,15.0,1,1.78,3.5,4.3,2:0,2,0,1.0324,0.98,2.25
01-02 20:00,wales premier league,aberystwyth town fc,haverfordwest county afc,26.0,26.0,48.0,X2,2.35,3.4,2.7,2:0,2,0,0.611,0.884,23.04
01-02 20:00,france ligue 1,olympique lyon,olympique marseille,29.0,42.0,30.0,X2,2.7,3.2,2.65,2:1,2,1,0.783,1.344,9.0
01-02 20:15,portugal primeira liga,cd santa clara,boavista fc,40.0,36.0,23.0,1X,2.23,3.05,3.4,2:1,2,1,0.892,1.098,5.29
01-02 20:15,jamaica premier league,tivoli gardens,harbour view fc,26.0,53.0,21.0,1X,2.25,2.85,2.8,1:2,1,2,0.585,1.5105,4.41
01-02 20:15,jamaica premier league,fc arnett gardens,fc humble lions,35.0,18.0,47.0,12,1.69,3.3,4.2,2:2,2,2,0.5915,0.594,22.09
01-02 20:30,colombia primera b,real cartagena fc,fortaleza fc,23.0,53.0,24.0,X,2.6,2.95,2.47,1:1,1,1,0.598,1.5635,5.76
01-02 22:00,"brazil paulista, serie a1",se palmeiras sp,ec agua santa sp,58.0,17.0,24.0,1,1.22,4.7,11.0,1:0,1,0,0.7076,0.799,5.76
