date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
01-01 06:05,australia westfield w-league,adelaide united fc,perth glory fc,45.0,26.0,29.0,12,2.85,3.75,2.03,4:2,4,2,1.2825,0.975,8.41
01-01 07:00,israel u19 premier division 1,hapoel gerusalemme,hapoel petah tikva,45.0,12.0,43.0,12,1.32,4.9,5.8,5:0,5,0,0.594,0.588,18.49
01-01 07:00,hong kong sapling cup,hong kong u23,eastern long lions,17.0,9.0,74.0,2,7.0,6.5,1.2,0:3,0,3,1.19,0.585,54.76
01-01 07:15,nepal 1st division,three star club,jawalakhel yc,27.0,28.0,45.0,X2,2.2,3.0,2.9,2:1,2,1,0.594,0.84,20.25
01-01 07:30,china chinese super league,guangzhou evergrande,fc changchun yatai,49.0,18.0,33.0,12,2.09,3.45,3.25,2:0,2,0,1.0241,0.621,10.89
01-01 07:30,china chinese super league,shandong taishan fc,shanghai port fc,43.0,19.0,39.0,12,2.39,3.25,2.8,2:2,2,2,1.0277,0.6175,15.21
01-01 08:15,nepal 1st division,manang marshyangdi,brigade boys fc,76.0,11.0,13.0,1,1.2,5.5,8.5,1:0,1,0,0.912,0.605,1.69
01-01 08:45,australia a-league,adelaide united fc,wellington phoenix fc,39.0,25.0,36.0,12,1.98,3.6,3.35,4:0,4,0,0.7722,0.9,12.96
01-01 08:45,israel u19 premier division 1,maccabi petach tikva,hapoel beer sheva,42.0,19.0,39.0,12,1.4,4.8,4.8,1:2,1,2,0.588,0.912,15.21
01-01 09:00,israel u19 premier division 1,hapoel kfar saba,maccabi tel aviv,14.0,27.0,58.0,2,7.25,5.4,1.24,0:0,0,0,1.015,1.458,33.64
01-01 09:30,hong kong sapling cup,lee man fc,hong kong fc,62.0,20.0,19.0,1,1.16,7.0,7.5,5:0,5,0,0.7192,1.4,3.61
01-01 10:00,israel u19 premier division 1,hapoel tel aviv,ironi nesher,53.0,7.0,39.0,12,1.1,7.75,10.5,2:0,2,0,0.583,0.5425,15.21
01-01 10:30,iran azadegan league,fc pars jonoubi jam,arman gohar sirjan,29.0,40.0,31.0,X2,3.25,2.49,2.28,1:0,1,0,0.9425,0.996,9.61
01-01 10:30,iran azadegan league,shams azar qazvin,esteghlal mollasani,46.0,22.0,32.0,12,1.78,2.65,4.7,1:1,1,1,0.8188,0.583,10.24
01-01 10:30,iran azadegan league,kheybar khorramabad fc,machine sazi tabriz,53.0,21.0,26.0,12,1.16,4.8,13.0,3:2,3,2,0.6148,1.008,6.76
01-01 10:30,iran azadegan league,esteghlal khuzestan fc,shahrdari hamadan,39.0,21.0,40.0,12,1.87,2.75,3.95,1:0,1,0,0.7293,0.5775,16.0
