date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
12-06 23:00,brazil brasileiro serie b,tombense fc mg,cs alagoano al,34.0,46.0,19.0,1X,2.37,2.85,3.15,2:1,2,1,0.8058,1.311,3.61
12-06 23:00,international concacaf nations league,martinique,panama,21.0,28.0,51.0,X2,12.0,5.4,1.18,0:0,0,0,2.52,1.512,26.01
12-06 23:00,international concacaf nations league,guadeloupe,barbados,76.0,13.0,11.0,1,1.15,5.8,13.0,2:1,2,1,0.874,0.754,1.21
12-06 23:00,international concacaf nations league,puerto rico,"virgin islands, british",83.0,15.0,2.0,1,1.01,10.0,29.0,6:0,6,0,0.8383,1.5,0.04
12-06 23:00,international concacaf nations league,saint lucia,anguilla,79.0,11.0,10.0,1,1.09,7.2,16.0,2:0,2,0,0.8611,0.792,1.0
12-06 23:00,usa national women´s soccer league,chicago red stars,orlando pride,41.0,15.0,11.0,none,1.44,4.0,5.4,1:0,1,0,0.5904,0.6,1.21
13-06 00:00,international concacaf nations league,saint kitts and nevis,saint-martin,76.0,14.0,10.0,1,1.18,5.2,12.0,1:1,1,1,0.8968,0.728,1.0
13-06 00:00,usa national women´s soccer league,houston dash,portland thorns fc,30.0,21.0,50.0,12,2.45,2.85,2.7,0:4,0,4,0.735,0.5985,25.0
13-06 00:00,"usa usl, league two",long island rough riders,cedar stars rush,40.0,15.0,12.0,none,1.45,3.9,4.9,3:2,3,2,0.58,0.585,1.44
13-06 00:30,international u20 friendly games,brazil,uruguay,40.0,15.0,12.0,none,1.47,4.0,4.9,7:0,7,0,0.588,0.6,1.44
13-06 07:30,australia victoria premier league,oakleigh cannons,heidelberg united fc,42.0,25.0,33.0,12,1.78,3.65,3.8,2:3,2,3,0.7476,0.9125,10.89
13-06 09:30,china chinese super league,beijing guoan fc,tianjin jinmen tiger,37.0,25.0,39.0,12,1.68,3.45,5.2,1:0,1,0,0.6216,0.8625,15.21
13-06 11:00,south korea k-league challenge,chungnam asan fc,daejeon citizen fc,27.0,31.0,42.0,X2,2.9,3.05,2.4,1:0,1,0,0.783,0.9455,17.64
13-06 11:30,south korea k-league challenge,ansan greeners,fc bucheon,26.0,19.0,54.0,12,3.45,3.15,2.07,3:0,3,0,0.897,0.5985,29.16
13-06 12:30,china chinese super league,shenzhen fc,meizhou hakka fc,25.0,42.0,32.0,X2,2.45,3.05,2.9,1:2,1,2,0.6125,1.281,10.24
13-06 14:00,"international africa cup of nations, qualification",sao tome and principe,nigeria,19.0,7.0,75.0,2,30.0,9.0,1.05,0:10,0,10,5.7,0.63,56.25
13-06 14:00,rwanda national football league,gicumbi fc,rutsiro fc,42.0,15.0,43.0,12,6.6,3.95,1.38,1:3,1,3,2.772,0.5925,18.49
13-06 14:00,norway 3 divisjon,raufoss il 2,molde fk 2,17.0,26.0,56.0,2,3.35,3.85,1.75,1:6,1,6,0.5695,1.001,31.36
13-06 15:00,uefa nations league,kazakhstan,slovakia,40.0,19.0,41.0,12,5.4,3.75,1.67,2:1,2,1,2.16,0.7125,16.81
13-06 15:00,"argentina liga profesional, reserves",ca union santa fe,ca barracas central,61.0,18.0,21.0,1,1.85,3.35,3.55,0:1,0,1,1.1285,0.603,4.41
13-06 16:00,finland suomen cup,seinäjoen jk,fc inter turku,23.0,42.0,36.0,X2,2.65,3.05,2.46,1:1,1,1,0.6095,1.281,12.96
13-06 16:00,finland suomen cup,vaasan palloseura,hjk helsinki,39.0,21.0,40.0,12,5.6,3.75,1.51,0:0,0,0,2.184,0.7875,16.0
13-06 16:00,tunisia cup,as rejiche,club sportif sfaxien,32.0,28.0,39.0,none,3.5,3.1,1.99,2:2,2,2,1.12,0.868,15.21
13-06 17:00,"european championship u21 ec, qualification",czech republic,andorra,86.0,8.0,6.0,1,1.04,9.8,30.0,7:0,7,0,0.8944,0.784,0.36
13-06 17:00,international int. friendly games,albania,estonia,57.0,26.0,16.0,1,1.51,3.5,7.4,0:0,0,0,0.8607,0.91,2.56
13-06 17:00,uefa nations league,azerbaijan,belarus,25.0,32.0,42.0,X2,2.5,2.95,3.2,2:0,2,0,0.625,0.944,17.64
13-06 17:00,"international africa cup of nations, qualification",sierra leone,guinea-bissau,29.0,46.0,26.0,1X,2.46,2.95,2.8,2:2,2,2,0.7134,1.357,6.76
13-06 17:00,finland suomen cup,mikkelin palloilijat,kuopion palloseura,29.0,13.0,58.0,2,13.0,5.8,1.17,0:1,0,1,3.77,0.754,33.64
13-06 18:00,"sweden division 1, södra",ik oddevold,fc trollhattan,29.0,33.0,37.0,none,2.06,3.2,3.2,0:1,0,1,0.5974,1.056,13.69
13-06 18:30,"european championship u21 ec, qualification",albania,kosovo,60.0,17.0,25.0,1,1.59,3.75,5.2,1:1,1,1,0.954,0.6375,6.25
13-06 19:00,"world cup qualification, playoffs",australia,peru,35.0,28.0,37.0,12,4.8,3.2,1.74,0:0,0,0,1.68,0.896,13.69
13-06 19:00,"uruguay primera division, intermedio",atletico fenix montevideo,albion fc,58.0,28.0,14.0,1,1.69,3.55,4.2,0:1,0,1,0.9802,0.994,1.96
13-06 19:00,egypt cup,zamalek sc,el daklyeh,41.0,49.0,10.0,1X,1.46,4.0,6.0,1:1,1,1,0.5986,1.96,1.0
