date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
11-06 23:00,"colombia primera a, apertura",cd junior fc,ca bucaramanga,43.0,32.0,25.0,1X,1.38,3.95,7.4,1:0,1,0,0.5934,1.264,6.25
11-06 23:00,international concacaf nations league,sint maarten,turks and caicos islands,65.0,17.0,17.0,1,1.87,3.45,3.4,8:2,8,2,1.2155,0.5865,2.89
12-06 00:30,"argentina primera division, torneo inicial",ca river plate (arg),club atletico tucuman,54.0,13.0,33.0,12,1.32,4.8,7.4,0:0,0,0,0.7128,0.624,10.89
12-06 00:30,"usa usl, championship",atlanta united 2,loudoun united fc,54.0,18.0,28.0,12,2.9,3.3,2.12,2:0,2,0,1.566,0.594,7.84
12-06 05:00,japan j-league 3,azul claro numazu,yssc yokohama,35.0,17.0,47.0,12,1.67,3.35,4.3,2:1,2,1,0.5845,0.5695,22.09
12-06 06:00,"australia npl, new south wales",blacktown city fc,apia leichhardt,57.0,17.0,26.0,1,2.14,3.35,2.75,0:1,0,1,1.2198,0.5695,6.76
12-06 06:00,"australia npl, new south wales",sydney united,northbridge fc,36.0,18.0,46.0,12,1.65,4.0,3.65,1:0,1,0,0.594,0.72,21.16
12-06 06:00,japan j-league 3,tegevajaro miyazaki,kataller toyama,44.0,32.0,24.0,1X,2.4,3.25,2.45,0:1,0,1,1.056,1.04,5.76
12-06 06:00,japan j-league 3,giravanz kitakyushu,fukushima united fc,35.0,36.0,29.0,1X,3.15,3.05,2.08,1:1,1,1,1.1025,1.098,8.41
12-06 06:00,japan j-league 2,blaublitz akita,omiya ardija,23.0,32.0,44.0,X2,2.55,2.9,2.7,0:1,0,1,0.5865,0.928,19.36
12-06 08:00,japan j-league 3,fc imabari,sc sagamihara,41.0,21.0,38.0,12,2.0,2.95,3.7,1:3,1,3,0.82,0.6195,14.44
12-06 09:15,czech republic cfl,fa povltavska,loko vltavin,47.0,15.0,38.0,12,4.4,4.1,1.57,1:1,1,1,2.068,0.615,14.44
12-06 09:15,czech republic cfl,bohemians praha 1905 b,fc hradec kralove b,29.0,18.0,53.0,12,2.09,3.4,3.0,2:3,2,3,0.6061,0.612,28.09
12-06 10:00,japan j-league 2,thespakusatsu,tochigi sc,31.0,27.0,41.0,12,2.3,2.7,3.5,0:0,0,0,0.713,0.729,16.81
12-06 10:00,japan j-league 2,tokyo verdy,grulla morioka,38.0,17.0,45.0,12,1.61,3.7,5.0,2:2,2,2,0.6118,0.629,20.25
12-06 10:00,czech republic cfl,fk teplice b,sk zapy,15.0,49.0,35.0,X2,4.0,3.75,1.69,1:2,1,2,0.6,1.8375,12.25
12-06 10:30,china chinese super league,guangzhou r&f fc,shandong taishan fc,31.0,17.0,52.0,12,16.0,5.8,1.18,0:1,0,1,4.96,0.986,27.04
12-06 12:00,south korea k-league challenge,jeonnam dragons,gyeongnam fc,23.0,45.0,32.0,X2,2.7,3.05,2.55,2:2,2,2,0.621,1.3725,10.24
12-06 12:30,china league 1,liaoning shenyang urban fc,sichuan jiuniu,38.0,11.0,51.0,12,13.0,5.2,1.19,1:1,1,1,4.94,0.572,26.01
12-06 12:30,china chinese super league,fc shanghai shenhua,wuhan three towns fc,45.0,17.0,38.0,12,5.0,3.7,1.63,1:1,1,1,2.25,0.629,14.44
12-06 13:00,latvia cup,afa olaine,grobinas sc,38.0,8.0,54.0,12,13.0,7.6,1.11,2:8,2,8,4.94,0.608,29.16
12-06 14:00,uefa nations league,north ireland,cyprus,63.0,21.0,15.0,1,1.6,3.85,6.0,2:2,2,2,1.008,0.8085,2.25
12-06 14:00,"norway toppserien, women",avaldsnes il,kolbotn,44.0,13.0,43.0,12,5.6,4.5,1.37,0:3,0,3,2.464,0.585,18.49
12-06 14:00,sweden damallsvenskan,if brommapojkarna,kristianstads dff,37.0,9.0,53.0,12,14.0,6.4,1.12,1:2,1,2,5.18,0.576,28.09
12-06 14:00,sweden damallsvenskan,bk häcken,vittsjö gik,41.0,15.0,44.0,12,1.47,3.85,5.6,2:3,2,3,0.6027,0.5775,19.36
