date_match,ligue_name,home_team,away_team,chance_home,chance_draw,chance_away,tips,home_odds,draw_odds,away_odds,final_result,goal_result_home,goal_result_away,value_home,value_draw,value_away
31-03 23:00,chile primera division,colo colo,deportes union la calera,70.0,15.0,15.0,1,1.4,4.2,7.2,4:0,4,0,0.98,0.63,2.25
31-03 23:00,israel ligat al women,hapoel marmorek rehovot,hapoel nir ramat hasharon,19.0,16.0,66.0,2,3.2,3.75,1.81,0:2,0,2,0.608,0.6,43.56
31-03 23:00,"mexico liga mx, women",club necaxa,atletico san luis,49.0,25.0,26.0,12,1.91,3.25,3.15,1:2,1,2,0.9359,0.8125,6.76
01-04 00:00,"brazil paulista, serie a1",botafogo fc sp,ituano fc sp,37.0,33.0,30.0,none,2.43,2.85,2.85,0:3,0,3,0.8991,0.9405,9.0
01-04 00:00,colombia copa colombia,once caldas s. a.,deportes quindio,44.0,34.0,22.0,1X,1.56,3.5,5.6,0:0,0,0,0.6864,1.19,4.84
01-04 00:15,brazil campeonato paraibano,sao paulo crystal fc pb,botafogo fc pb,29.0,32.0,39.0,none,4.8,2.8,1.77,0:3,0,3,1.392,0.896,15.21
01-04 00:30,brazil campeonato sergipano,ad confianca se,falcon se,36.0,18.0,46.0,12,1.63,3.25,4.7,1:1,1,1,0.5868,0.585,21.16
01-04 00:30,venezuela primera division,academia puerto cabello,caracas fc,34.0,35.0,30.0,none,3.35,3.1,1.95,0:0,0,0,1.139,1.085,9.0
01-04 01:00,"mexico liga de expansion mx, clausura",tepatitlan fc,atletico morelia,36.0,38.0,26.0,1X,2.55,2.8,2.65,2:1,2,1,0.918,1.064,6.76
01-04 01:00,"costa rica primera division, campeonato verano",cs herediano,perez zeledon,56.0,30.0,15.0,1,1.84,3.1,4.1,3:2,3,2,1.0304,0.93,2.25
01-04 01:00,ecuador serie b,cd independiente juniors,chacaritas fc,44.0,31.0,26.0,1X,2.4,2.8,2.8,1:0,1,0,1.056,0.868,6.76
01-04 01:30,argentina copa de la liga profesional,colon de santa fe,ca aldosivi,47.0,33.0,20.0,1X,1.55,3.6,5.4,1:3,1,3,0.7285,1.188,4.0
01-04 01:30,ecuador serie b,libertad,imbabura sporting club,55.0,27.0,17.0,1,2.01,2.95,3.45,3:5,3,5,1.1055,0.7965,2.89
01-04 01:35,brazil copa do nordeste,sc recife pe,fortaleza ec ce,24.0,37.0,39.0,X2,3.25,2.9,2.09,1:1,1,1,0.78,1.073,15.21
01-04 02:00,"costa rica primera division, campeonato verano",sporting fc,ad san carlos,42.0,35.0,24.0,1X,1.81,3.4,3.8,4:0,4,0,0.7602,1.19,5.76
01-04 02:00,colombia copa colombia,ad pasto,independiente santa fe,21.0,40.0,38.0,X2,2.8,2.8,2.5,0:1,0,1,0.588,1.12,14.44
01-04 03:30,"costa rica primera division, campeonato verano",cs cartagines,adr jicaral,46.0,21.0,32.0,12,1.62,3.6,4.6,0:0,0,0,0.7452,0.756,10.24
01-04 08:15,australia u21 victoria npl1,bentleigh greens,green gully,38.0,19.0,43.0,12,1.55,4.2,4.0,2:0,2,0,0.589,0.798,18.49
01-04 09:15,"australia npl, new south wales",apia leichhardt,wollongong wolves fc,45.0,26.0,30.0,12,2.16,3.35,2.85,2:0,2,0,0.972,0.871,9.0
01-04 09:30,australia victoria premier league,dandenong city,oakleigh cannons,37.0,15.0,48.0,12,4.5,3.95,1.6,0:4,0,4,1.665,0.5925,23.04
01-04 09:30,australia victoria premier league,melbourne knights,hume city,35.0,33.0,32.0,none,2.16,3.4,2.95,3:0,3,0,0.756,1.122,10.24
01-04 09:30,australia u-23 npl queensland,logan lightning,gold coast united,47.0,14.0,40.0,12,1.65,4.3,3.4,2:2,2,2,0.7755,0.602,16.0
01-04 09:45,"australia npl, tasmania",launceston city fc,riverside olympic fc,52.0,13.0,35.0,12,1.15,7.2,9.8,4:0,4,0,0.598,0.936,12.25
01-04 09:45,"australia npl, south australia, women",adelaide city,west torrens birkalla,60.0,10.0,29.0,1,1.06,9.4,17.0,4:1,4,1,0.636,0.94,8.41
01-04 09:45,"australia atc premier league, women",tuggeranong united,belconnen united,23.0,6.0,71.0,2,20.0,10.0,1.02,1:5,1,5,4.6,0.6,50.41
01-04 10:00,"australia npl, south australia",north eastern metrostars sc,adelaide comets fc,35.0,38.0,27.0,1X,2.75,3.3,2.27,1:1,1,1,0.9625,1.254,7.29
01-04 10:30,australia victoria premier league,bentleigh greens,green gully cavaliers,40.0,25.0,35.0,12,1.9,3.65,3.35,3:0,3,0,0.76,0.9125,12.25
01-04 10:30,india i-league,sreenidi deccan fc,kenkre fc,53.0,29.0,18.0,1X,1.23,4.8,11.0,2:1,2,1,0.6519,1.392,3.24
01-04 10:45,"australia npl, south australia",croydon kings fc,west torrens birkalla,46.0,15.0,38.0,12,1.65,3.9,4.0,0:0,0,0,0.759,0.585,14.44
01-04 10:45,"australia npl, south australia, women",modbury vista,west adelaide,38.0,7.0,55.0,2,13.0,8.0,1.1,0:9,0,9,4.94,0.56,30.25
01-04 11:00,japan j-league,avispa fukuoka,sagan tosu,39.0,39.0,21.0,1X,2.7,2.7,2.9,0:0,0,0,1.053,1.053,4.41
01-04 11:15,australia queensland premier league,albany creek,virginia united,66.0,9.0,26.0,1,1.12,7.0,10.0,5:2,5,2,0.7392,0.63,6.76
01-04 11:30,"australia npl, queensland",logan lightning,gold coast united fc,17.0,23.0,60.0,2,3.45,3.8,1.8,1:0,1,0,0.5865,0.874,36.0
01-04 12:30,"australia npl, western australia",perth glory fc,floreat athena,30.0,24.0,46.0,12,2.55,3.5,2.34,1:3,1,3,0.765,0.84,21.16
01-04 12:30,"australia wa premier league, women",murdoch university melville fc,subiaco afc,71.0,8.0,20.0,1,1.05,12.0,11.0,0:0,0,0,0.7455,0.96,4.0
01-04 12:30,iran pro league,fc nassaji mazandaran,foolad khuzestan fc,28.0,41.0,30.0,X2,3.05,2.44,2.7,0:2,0,2,0.854,1.0004,9.0
01-04 12:35,india i-league,aizawl fc,gokulam kerala fc,18.0,24.0,58.0,2,3.4,3.45,1.91,1:2,1,2,0.612,0.828,33.64
01-04 14:00,israel national league,agudat sport ashdod fc,bnei yehuda tel aviv fc,51.0,29.0,20.0,1X,2.37,2.85,2.95,3:1,3,1,1.2087,0.8265,4.0
01-04 14:00,israel national league,hapoel umm al fahm,sektzia ness ziona fc,42.0,33.0,25.0,1X,2.95,2.9,2.34,1:2,1,2,1.239,0.957,6.25
01-04 14:00,israel national league,hapoel acre fc,hapoel afula fc,25.0,47.0,27.0,X2,2.35,2.9,2.95,0:0,0,0,0.5875,1.363,7.29
01-04 14:00,israel national league,hapoel rishon lezion fc,hapoel nir ramat hasharon fc,26.0,55.0,19.0,X,2.32,2.8,3.1,2:2,2,2,0.6032,1.54,3.61
01-04 14:00,tanzania premier league,polisi tanzania fc,ruvu shooting fc,45.0,14.0,41.0,12,1.31,4.2,7.8,1:1,1,1,0.5895,0.588,16.81
01-04 14:30,iran pro league,sanat naft abadan fc,foolad mobarakeh sepahan sc,29.0,32.0,39.0,none,5.8,2.65,1.76,2:4,2,4,1.682,0.848,15.21
01-04 15:30,romania liga i,fc u craiova 1948,cs mioveni,61.0,23.0,16.0,1,2.17,2.7,3.75,1:1,1,1,1.3237,0.621,2.56
